Text,Sub-task A
Next part,NAG
"Iii8mllllllm
Mdxfvb8o90lplppi0005",NAG
🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this,NAG
"What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts and
characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂",NAG
"Concerned authorities should bring arundathi Roy and other these type of
people before the law of the land.for giving anti national statements",NAG
"It seems like these people want to be famous nothing more they don't care if
people die by their hateful talks.",NAG
Best topic for Law Students !,NAG
She is wrong .,NAG
6001733614,NAG
Hindi old muvi,NAG
rait,NAG
"Very well said dude, totally agree.",NAG
👌👌👌👌👌right,NAG
Our Role Model - Shwetabh > Kabir ❤️,NAG
"@usher luck well i am from haryana. A small city called hisar. You can give me
your number if u want but frankly i will not give you mine. I would like you
as a friend. If you would like we can chat on facebook though",NAG
she best arbitrator in kamatipura & sonargachi area settlements,NAG
Yeah man **Fuck Bollywood** and become **mature** in real life!,NAG
"Sahi kaha 😂🤣  
Logic level ---- Bollywood",NAG
its not good i think its all dimaghi keeda being a gay or lesbian..,NAG
giving the movie review of super 30?,NAG
"Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point.
As for now, we have two media one modi loving and 2nd is modi hating. But you
are neutral",NAG
"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",NAG
Exactly. That was 100000000000x better than shitty kabir singh.,NAG
Chhichhore review,NAG
@mohammad ismail xc,NAG
Like Baahubali.,NAG
"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all the best shahid ji😍👇👇  
From Rebal star prabhas Fans",NAG
"Full support 💪🙌 bro  
Keep it up 👍",NAG
"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NAG
I was waiting for it.... Very honest opinion,NAG
OMG 😱,NAG
Llovu,NAG
You are Right broo thanks,NAG
"she is castigating our citizens to direspect our country and its law .who
donkys gave her Booker prize .she is mocking and insulting our country and
behaving like wicked and crafty woolf . shame on you .you wampnthi . q
chutyapnti kar rahi ho . jai hnind .jay jagat .",NAG
"Watch this amazing video
[https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop](https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop)",NAG
hats off brother,NAG
Too much spoiler 🙄🙄🙄 Change Title 😒😒,NAG
"but can you catch them, no....if yes fial complian agaist them in court and
punish then and put them in jail..but you cant//this is the fact...she is the
danderous lady and you are helpless..court are reluktunt to punish them",NAG
Ranu is a bad girl 👍👍😸😆😂,NAG
The world needs more men like you,NAG
**Correct**,NAG
"The whole Bollywood premise is showing a life people dream about and not
realism. It's a form of escapism from reality.",NAG
"Salute to you sir,great thinking",NAG
"Watch this song..Awesome
<https://youtu.be/4Ax1099ML-Q>",NAG
Very very nice Bor,NAG
Very nice video,NAG
Epic movie,NAG
Super bro,NAG
"Good job,,plz sub",NAG
Weren't you a liberal yourself?😂,NAG
That is why I like amir khan,NAG
Best film for sahid Kapoor,NAG
"This mentally ill Lady is a barking Street dog whose intentions to pull
people's attention that she is alive",NAG
Manjee.. Chakshu ji.. Nd.. Akhil ji... 😁 😂 🤣 🤣 🤣 fab.. 😁 😂 🤣,NAG
"All of you r jealous of Ranu Mondal. .you have no education. .bt we support
Ranu ji fr her talent ...we never interfare her personal issues. .we love her
devine voice. .dats it..",NAG
Kabir singh one of the best love story. Dil se jud gayi movie,NAG
"Shadaa by Diljit Dosanjh  
Review  
Please 🙏 🙏",NAG
col,NAG
You are talking real sense bro..,NAG
"Mensutra is the leader of youth....Thnx for your contribution to our Indian
Society",NAG
Love from bd💖💖🇧🇩,NAG
hlooo,NAG
@Babu Lal good morning ji,NAG
"Please do a fan meetup! We want to meet you in person. There are many
community centres in and near Saket that you can book for same.",NAG
awesome movie..,NAG
"how can u talk for so much time and u looking just at the camera.. which means
it's like talking to yourself..",NAG
good,NAG
"Finally, i can legally call indians gay",NAG
Really,NAG
Totally agree👍,NAG
"As per Arundhati she should give her name as Kung Fu Kutiya and she should
keep practicing balancing tooth brushes on her nipples (god of small things),
that is all she is worth for. They (Roy, Kavita Krishnan, Shehla Rashid)
should rent apartments in Hira Mandi).",NAG
Ayushmann khurana nawazuddin siddique rajkumar Rao are really good actors,NAG
8617618488,NAG
"Ya gay person never like girls....but they won't going into violence against
girls...ur approach is entirely wrong man😒😒😒👎👎👎",NAG
No means no... Awesome sarcasm...,NAG
"తమ్ముడు వైపర్ ఏంది నీ బాధ... 🤔  
గమున్నుండవాయ్...  
రిప్లై ఇవ్వలేదని ఓ కామెంట్స్ పెట్టుకుంటూపోతున్నారు  
Shahid he is good actor & better then khan's So we are all just encourage  
  
Don't negative be positive  
Prabhas & shahid one of the greatest friends So I'm just supporting  
  
I'm member of prabhas fans association  
  
Eagerly waiting For shad's oF saaho  
  
Just waiting all",NAG
I think you are one of the most honest youtubers on the platform. Respect! 🙏,NAG
amezing brother🤘,NAG
"Give the fake name and fake details and you will end up being unable to vote,
nor open bank account nor apply for any social benefits...",NAG
কামরুন নাহার right,NAG
Nice msg in end. Awesome video 👍👍👍👍👌👌💗💗,NAG
"Yes I saw in reality how protective lesbian girl is when it comes to her
girlfriend..... Salute to that girls...lgbt rocks",NAG
Good.. :),NAG
"Iam a medical student and we give atleast 6-7 hrs for subjects . There is
nothing like personal life in medical field. For the sake of patients you have
to sacrifice your personal life.",NAG
She is a drug adict n dinner girl of billionaire,NAG
"these mental congress paid leftist so call intellectuals thinking Hindustan is
a jock.. these group will be behind bar or will be eliminated before
2023...just wait...this govt will not spare",NAG
Kabir singh 2019 most overrated movie🤮🤮,NAG
Hit like if you love ayushmann khurana,NAG
@Sayan Bose Thanks.. Respect.,NAG
"Have u watched 3idiots, OMG, queen, Parmanu, Bajrangi Bhaijaan, Sultan,
Dangal, Padman etc?????? Better try to watch these good movies and remove ur
negativity about bollywood.",NAG
Right 👌 bro,NAG
Best and well studied review bro...👍,NAG
Totally agree......bro..Specially for Army and for country security...,NAG
"Al9


,Alicia",NAG
Who is watching this after india beat afganistan in world cup 2019.,NAG
"Extremely sad, very very tragic.",NAG
Sucharita tyagi is awesome,NAG
"At [14:27](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m27s) ...this is
What i said to my Father after 12th 😂😂😂😂😂😂😂",NAG
Homosexuality is ban,NAG
Pseudo liberals are themselves too much intolerant,NAG
good job done by this man,NAG
Your voice is very sweet,NAG
Ya he is the only who talks sense on you tube,NAG
+Naughty World hiii,NAG
It's good video but not good to murder of female,NAG
<https://www.bbc.com/marathi/india-49022841>,NAG
This movie is really great,NAG
"Bro, Nice video",NAG
You are alright,NAG
"This lady from BJP is crazy this is how u react man such a foolish and
ignorant lady",NAG
I just love how two women shout over each other about another women.,NAG
Toy Story 4 review sir please,NAG
Super 🤠🤠🤠,NAG
"@jacky ju IF YOU WILL TAKE 5 ML TESTOSTERONE HORMONE INJECTION AND NOT FIND A
FEMALE YOU CAN EVEN FUCK A DOG",NAG
GaNgss Of wassepur Fanss Hit A like....😂😂😂,NAG
I totally agree with you sir 💯,NAG
Salute,NAG
You got a subscriber 👍,NAG
"Sir I Have Sent A Personal Message To You on Instagram .... Please Make a
Video on it",NAG
"Gay are not criminals, its a sexual identity, please stop sending wrong
messages",NAG
"Wow that's cool bcz i love all lesbians & gays. They are more spacial than uh
in my opinion. So i support them cz i respect them ❤❤. Bt i m nt a lesbian",NAG
"@Be Positive What is your opinion about Muslims not allowing women to enter
Masjids ? Why are there no feminists protesting for that ?",NAG
Superb nice movie,NAG
"I died at Shahid Khan , Kabir Khan 😂😂😂",NAG
"I guess it's the first film where every reviewer on youtube had a different
opinions and views .. woh!  
but I just loved the film!!",NAG
"There is no action taken against woman, who file false 498a cases, so crime is
the only option left for a sensible Men like him, who was looking for
justice...",NAG
"Bad boy character is more preferable then good character in girls eye...that's
why destructive films popular...",NAG
"Well I do agree with most of the points you said..but I just feel that the
initial things done by Kabir in order to approach Priti were kind of scary.
Normally any girl would get scared. Priti's reaction to all of that was kind
of weird to me.",NAG
Watch Section 375. It's a masterpiece exposing feminism.,NAG
Bhai types of girls series continue Karo...,NAG
Very good video,NAG
Yes bro you ar right,NAG
@Franklin Bro. I agree 💯% with u...,NAG
"Shwetabh pin my comment.
You are too good man.",NAG
se se se it's hearing looking feeling veery bed...,NAG
"Gazabb review .... I thought you would praise this film... Thank God you
bashed it.... Love your review",NAG
"Finally, most anticipated video of Shwetabh sir!",NAG
Sonagachi hit like❤,NAG
nice bhai,NAG
200 crores club movie hai ye 😂,NAG
Oooo super,NAG
"Savdhaan India, Kabir Singh fights back.😁😁",NAG
😂😂amazing practical person,NAG
Hypocrisy... is a disease,NAG
true,NAG
"Even I watched the movie and I had similar thoughts, but the only appreciable
part was Shahid's acting.",NAG
Nicevedio,NAG
Hi8,NAG
"I am a big fan, Pratik Bhai love from the USA 🇺🇸😍",NAG
They will know in 2024 Elections when we vote for Modi Government in Majority.,NAG
Nawazuddin a toxic character babat realistic presentation,NAG
Right sir ...,NAG
If anurag kasyab directed this film then it will be like crime petrol show.. 😂,NAG
Once again you nailed it!!. Keep going brother.,NAG
"Frankly I liked only Shahid and his friends acting and their relationship than
actual love story.",NAG
From thumbnail I thought it is carryminati,NAG
"Someone told me ki if you're trying to find out logics you must find it in
life not in films. So watch a movie with just nothing",NAG
Pls review joker......,NAG
Ok thanks for your,NAG
1000th like👍,NAG
"Yes, u r right man",NAG
Kabir Singh best love story ever 😘😘,NAG
"If u need a realistic and grounded love story, watch '96\. Vijay setupathy and
trisha. It is a tamil movie. watch it with subs.",NAG
"Hit like for shwetabh gangwar.
👇👇",NAG
Waste a bullet on Arundathi Roy...she is a traitor,NAG
Ranu is a bad girl👍👍😸😆😂🤣,NAG
"Phone sex iam from Odisha state bhubaneswar iam just 24yr old hot and sexy boy
09777070288",NAG
<https://youtu.be/Jtf5L1h-q9I>,NAG
My.darling,NAG
I think chhichore is more realistic.,NAG
Isiliye to real life ko movie se compare nahi kr skte.....,NAG
Arundhati roy is a gr8 writer arnab pl dnt mislead the public,NAG
"Why give importance to her nonsensical utterances? No talks, only arrest her.",NAG
Love you didi 😁,NAG
"Kabir Singh is dubbing of Arjun Reddy Tollywood industry film directed by the
same guy Sandeep Reddy Vanga and what's so surprising is this movie is biggest
blockbuster of Tollywood industry in the respective year. Need more men like
you to get youth's mind into correct direction. Respect for your work man.",NAG
Tike asa..bro..i like you...,NAG
"I also watch thousands of worldwide movies Korean,Japanese,Hollywood,Taiwan
seriously after a decade I will tell you that kabir singh/Arjun reddy is a
cult classic movie in india it’s not a simple love story.bro you are awesome
you are telling the real truth.❤️",NAG
That's the truth,NAG
Coming to Delhi to watch your videos bcox net is off in Kashmir,NAG
You're a true genius!😎😎😎😎😎😎,NAG
"Harr Londa samajhta hai main Kabir Singh hu, EX: main chain smoker hu like
him, main abusive hu like him, alcoholic hu as usual like him but when it
comes to education, wisdam, carrier non of these even exist for em.",NAG
Right...,NAG
"NPR will help reaching govt schemes effectively n proprly to minor
communities.",NAG
Beautiful,NAG
"@usher luck Fair enough then ... The director's approach isn't very clear to
me however , may be it's misinterpreted , may be not . And can't comment on
the movie scenes . Started my comment stating that didn't watch it.",NAG
Nice review brother love you,NAG
Make video about Indian series streaming on Netflix and Amazon prime,NAG
"@NIRMALYA SASMAL just tell me one thing have u watched the whole speach it's
just 4-5 min u should watch it.",NAG
"@mala sahu India is a failed state and so do NSA , you cant scare us with your
""Nazi Gestapo"" crap",NAG
@sonali roy r8,NAG
**shahid fans hit like 😍😍**,NAG
Great Job !,NAG
Bhai good analysis,NAG
Super boss,NAG
arnab you must retire now. you are done.,NAG
"Best review. Khup negatives reviews milale Kabir singh la.. Filmi corporation
chya Suchitra tyagi tar Vish okalay tichya review madhe.. Go to masses man..
Movie is getting excellent response from people.. This type of love story is
encouraging in today's world where one night stand and extra martial affair is
comon",NAG
@Naveen Shekhar I know that's exactly what I said .,NAG
"Hi iam from Odisha state bhubaneswar 09777070288 I want make friendship with
you and meet with you if you are interested msg me on whatsapp and call me let
see 7 mine",NAG
Seriously so sad to say but ... Tatti movie,NAG
@aam admi ok,NAG
This is really a good 1🤗🤗🤗🤗🤗,NAG
No nice video 👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨👨‍❤️‍💋‍👨,NAG
Ranu is a,NAG
I love u sakib but opu sotiya,NAG
Salute You bhai.... Your best review till now... Dho dala...,NAG
Love u,NAG
I studied really hard the next few days after watching this movie😂,NAG
"If I shoot her, will l be jailed or I can get away with that?",NAG
Pratik bhaiya l want to ask you something,NAG
"I cannot understand how a government is sparing a antinational element
Arundhati Roy ? Her this coment is enough to be prosecuted in NIA .",NAG
Nice video 😘😘😘😘,NAG
"Govt official take census at arundhati Roy's house.. what is your name maam
..roy says- my name is cunning bitch.",NAG
Just when i was thinking wrong you just made my mind clear. Thank you.,NAG
Justice served....,NAG
Not thanks to God.Only thanks to you dada,NAG
"Arnab don't give more important to Mrs.Roy. Just take her in custody and
demonstrate law exist",NAG
"Lotous come out from mud but it is expected it must be shunned the stink of
mud.",NAG
Good....,NAG
Hahhaaa,NAG
Nailed it ...outstanding reply to film companion and others,NAG
Super vai,NAG
"@Arnab: Do you know what are the plans of Govt with the Illegal immigrants?
How would a refugee prove religious persecution? Why have we shown selective
compassion?  
Do you really think it is the right time for India to do an activity like NRC
given the facts that almost 20% population are below poverty line and 30% of
adult population are still illiterate which constitutes more than 50% Women
who are still deprived of their basic needs. Do you think, this is the time
such exercise would be of any beneficial to India? Don't you think the CJI and
GOI has wasted our huge 16K Cr rupees in this unsuccessful exercise and if we
live the money aside, look at the extent of trouble and pain people went in
Assam due to this.  
The reason I Pointed to NRC is because NPR is nothing but Opening Step of NRC
and with reference to Scroll.in(correct me if I am wrong) the new questions
added to NPR are indicators of the NRC exclusion process.  
You being a Journalist and from Assam, doesn't this pinches your heart and
raises alarm. Is there no value of human life on this land anymore?  
  
I strongly Oppose NRC, Oppose CAA amendment in the current situation.  
Was there any effective effort from GOI to stop the infiltration?  
  
GOI is just find ways to treat us like goats every now and then.  
  
I know, this questions should be thrown at GOI, however, as I see you a so
called representative of the GOI most of the time, so, I am throwing this on
you.  
Moreover, whats wrong with you getting stuck in this stupid debates on who
told what. Everyone around us promote lies everyday. Nobody really bothers
that anymore. Starting from PM to HM to Activist everyone promotes lies
everywhere but no facts. So, Arundhati is no different, where we cannot trust
the PM/CJI for that matter, who is Arundhati in that league. No one cares
about her. I stopped watching your channel, just thought of looking over today
for a change, but nothing changed. Same insensitive arguments and false
narratives. I wish I could say alternate narratives, but I see them clearly to
be false.  
Also JFYI, I supported the change in Govt, but really regretting now. I dont
support any political party anymore. So, please dont ask me why didn't I speak
during UPA rule. I dont have to answer that to you.",NAG
Good job bro 🤘❤✌,NAG
Thanks brother for your good explanation .,NAG
NICE Shirt Pratik Bhai 😂,NAG
I lov ur video dada. ......,NAG
"This movie hits at people's Mesmorism about a king... Because he is a king he
is justified being doing all",NAG
Good job.,NAG
Nice review .. can i get a like,NAG
Wow amazing videos,NAG
your are no Santa Claus,NAG
"Very good... throw out these homosexuals out of India... bloody rouge.. bloody
SC deteriorating Indian culture... bann the SC first... bloody old gay
judges...",NAG
"I appreciate what you are saying.I will always support you  
  
  
  
whatever it takes",NAG
good job jahangir,NAG
that's is rong yarr,NAG
SUSSANE arundhati roy,NAG
"if you reading this comment So I want to suggest you a book named ""Incognito
written by david eagleman""
its really great book you wont regreat reading it",NAG
Thanku sir.... You're awesome,NAG
"Ms.Roy should have been arrested immediately when she is enticing people in
the public.",NAG
"Check the news:  
A guy from TikTok name Ashwani Kumar murdered a flight attendant he was
obsessed with. He was uploading villain clips on social media imitating Kabir
Singh.",NAG
"Exactly bro...... you are absolutely right. I am with your thoughts. Please
keep posting these kinda videos really appreciate your work",NAG
Nice vedio,NAG
"You are absolutely right dada,",NAG
Review Joker bro,NAG
scary tube lol 🤣🤣🤣,NAG
@Anindita Maity nice sister... you are right,NAG
@Its chakshank wlcm❤,NAG
"Even lgbt people have their own standards lol ...I'm gay but you will never
find me drooling over boys in public for mere pleasure... And also I have a
type.",NAG
You really want to spoil such masterpieces?,NAG
I. like you very nice,NAG
Media and public Bengali film land of women public television series is a good,NAG
"Real man is someone who has purpose in his life. Purpose makes our lives
meaningful.",NAG
Nice Bro,NAG
Your biggest ac,NAG
"I love you brother for saying this on this platform. I completely agree with
your thoughts.",NAG
Super!!,NAG
Your right my friend,NAG
U are right,NAG
Great job jahangir bhai,NAG
Nice apu didi,NAG
Hmm,NAG
"From the depth of my Heart i like the way you observe things and share your
point of views... this is my first comment please sir give Heart ☺",NAG
@Amritpal Singh yes,NAG
Bollywood lionize shit,NAG
U r true bhaii,NAG
nice,NAG
Yes you are right,NAG
Brother point is totally good 👌👍👍👍,NAG
Good job,NAG
Spoiler alert at [3:30](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=3m30s),NAG
Good bai,NAG
Right ...you are right absolutely .a huge respect 🔥,NAG
RX100 MOVIE REVIEW,NAG
As ultimate GPS,NAG
"He is hero for all those who is suffering from false claim charged by women to
their husband and their in law. Show this case to government than they will
realised that the law they made for justice is leading toward blood &
violence.",NAG
Kabir Singh my favourite 🔼🔼,NAG
10 inch mouth haaaaa,NAG
"Am also lesbian...  
Who is single....  
I want a girlfriend soo much....",NAG
"Please give a spoiler talk on Dark Knight do you watch The Dark Knight and you
also like Heath Ledger as acting as Joker",NAG
"Madam Arundhati Roy go to Kapil Sharma show, insensible incompetence politics
.",NAG
+MR Romantic Pawan ok,NAG
Thanks you apu,NAG
Real and best review on YouTube,NAG
"Who else didnt even considered watching kabir singh after watching its trailer
???",NAG
Real hero,NAG
This movie was copied . copycat Bollywood,NAG
Good OK,NAG
Me to bro people do think that we guys don't have movie sense,NAG
Akdam thik bolechen dada.,NAG
"<https://youtu.be/C-lRyevxevA>  
  
  
Is review ka rply do plzz  
Must needed 🔥😤",NAG
Sir plz like my comment,NAG
Super boss😎😎,NAG
"It would be great if you could regularly share some books/movies/short films
that are constructive in nature, some or other ways of entertainment.
I remember you starting a book club, 'Homo Sapiens' was the book, we need some
more initiatives like that.
Much love, support and respect like always!",NAG
best of luck 2018,NAG
Arundhati Roy is a disgrace to India.It's sad.,NAG
"Shwetabh, i would really like to hear your thoughts on joker. It will be
really great if you come up with that.",NAG
"As doctor,i realized to work on my physique and stay fit,thats what i got from
it,rest is bullshit",NAG
So basically kabir singh is tere naam' s radhe on drugs,NAG
Wonderful videoooo I like it,NAG
Love metal 🤘,NAG
"A medico here ! 10 hours daily study is must to pass annual exams in MBBS
atleast .",NAG
Best review bro keep it up.,NAG
Great work sir 👌👌,NAG
My WhatsApp and imo number is+96565897567,NAG
Nice bro 👌👌👍👍,NAG
Right boss,NAG
nyc video,NAG
Yeah...,NAG
"I agree with a lot of what you said. But a lot of things didnt make any sense,
like the way the love develops felt artificial and forced, and not
organically. Really not about feminism or misogynist, the movie as such didnt
make much sense.",NAG
Finally someone said it! Thank you mensutra for this video👍👏👏👏,NAG
How about joker!??? Please review it😇,NAG
Exactly! I completely agree,NAG
Hahaha,NAG
Plsssss make a review on Tamil movie Romeo Juliet,NAG
If get right answers then Arnab saying ayk minute or one minute,NAG
A very good answer to all the pseudo liberals Nd pseudo feminists 👏🏻👏🏻,NAG
@Film Mart think you,NAG
Share dis to evryone..,NAG
"no one is homosexual by birth, their is no scientific or genetic proof. :) it
arises when people get tired of the natural process. And this is basically
because of the arising pornography and vulgarity that is openly viewed and
displayed and majority are prone to it so when they grow tired of the nature,
they tend to find pleasure in something that goes against nature. So we need
to support good and decent content on media and promote early marriages to
abstain from this taboo. And ofcourse this homosexuality is a sign of the day
of judgement as we Muslims believe so we need to seek forgiveness and thank
Allah for His blessings.
[#freedomofspeech](http://www.youtube.com/results?search_query=%23freedomofspeech)
:) good day",NAG
Be🙏,NAG
"true review about film and fake librals too.. prateek sir.keep it up the same
honesty.",NAG
"You had me at "" ad hominem"".  
  
Saw some good content after a long time!  
  
Good job.",NAG
@Ritwik Sinha perfect 😂,NAG
Epic🔥😂,NAG
Absolutely right.,NAG
Agree with u,NAG
Well said bro ! Keep it up,NAG
"Please don't put gay people in bad light. Even i am gay and i am proud of
myself but that doesn't mean that i will kill others for the sake of my
happiness.",NAG
"Hit like if you want shwetabh Bhai to give review of all major Bollywood
movies releasing so as to give youths a right direction",NAG
"Army chief is correct and gays should never be allowed in arm forces. Itna hi
Sauk he to sare chakke ghar pe pubg khelo.",NAG
"U said true bro  
This talk is to. Most of the fanpages on social media",NAG
