Text,Sub-task B
Next part,NGEN
"Iii8mllllllm
Mdxfvb8o90lplppi0005",NGEN
🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this,NGEN
"What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts and
characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂",NGEN
"Concerned authorities should bring arundathi Roy and other these type of
people before the law of the land.for giving anti national statements",NGEN
"It seems like these people want to be famous nothing more they don't care if
people die by their hateful talks.",NGEN
Best topic for Law Students !,NGEN
"Even when kabir singh was unaware that Preeti is having his son he was ready
to accept other's baby and was ready to give his name though that was his baby
but still he was ready to accept preeti even after thinking she has sex with
other guy and feminists would not see this.",NGEN
She is wrong .,NGEN
6001733614,NGEN
Hindi old muvi,NGEN
rait,NGEN
"Very well said dude, totally agree.",NGEN
👌👌👌👌👌right,NGEN
"@Dushant Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what
the director and the story telling has to offer.... it's about understanding
the Movie not Making all the things shown in the movie to the heart.",NGEN
Our Role Model - Shwetabh > Kabir ❤️,NGEN
"@usher luck well i am from haryana. A small city called hisar. You can give me
your number if u want but frankly i will not give you mine. I would like you
as a friend. If you would like we can chat on facebook though",NGEN
she best arbitrator in kamatipura & sonargachi area settlements,NGEN
Yeah man **Fuck Bollywood** and become **mature** in real life!,NGEN
"It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂..
Thoko like",NGEN
"Sahi kaha 😂🤣  
Logic level ---- Bollywood",NGEN
giving the movie review of super 30?,NGEN
"Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point.
As for now, we have two media one modi loving and 2nd is modi hating. But you
are neutral",NGEN
Exactly. That was 100000000000x better than shitty kabir singh.,NGEN
Chhichhore review,NGEN
@mohammad ismail xc,NGEN
"feminism means equality not discrimination first you should learn about this
go and study about feminism.",NGEN
Like Baahubali.,NGEN
"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all the best shahid ji😍👇👇  
From Rebal star prabhas Fans",NGEN
